Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Mecklenburg-Vorpommern,LK VorpommernRügen,13073,Feature,[object Object]
Mecklenburg-Vorpommern,SK Rostock,13003,Feature,[object Object]
Mecklenburg-Vorpommern,LK Nordwestmecklenburg,13074,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Niedersachsen,LK Göttingen,03159,Feature,[object Object]
Niedersachsen,LK Osnabrück,03459,Feature,[object Object]
Niedersachsen,LK Hameln-Pyrmont,03252,Feature,[object Object]
Niedersachsen,LK Helmstedt,03154,Feature,[object Object]
Niedersachsen,LK Lüchow-Dannenberg,03354,Feature,[object Object]
Niedersachsen,LK Schaumburg,03257,Feature,[object Object]
Niedersachsen,LK Wesermarsch,03461,Feature,[object Object]
Niedersachsen,LK Cuxhaven,03352,Feature,[object Object]
Niedersachsen,LK Emsland,03454,Feature,[object Object]
Niedersachsen,SK Wolfsburg,03103,Feature,[object Object]
Niedersachsen,LK Cloppenburg,03453,Feature,[object Object]
Niedersachsen,LK Vechta,03460,Feature,[object Object]
Niedersachsen,LK Holzminden,03255,Feature,[object Object]
Niedersachsen,LK Aurich,03452,Feature,[object Object]
Niedersachsen,LK Oldenburg,03458,Feature,[object Object]
Niedersachsen,LK Stade,03359,Feature,[object Object]
Niedersachsen,LK Diepholz,03251,Feature,[object Object]
Niedersachsen,LK Harburg,03353,Feature,[object Object]
Niedersachsen,LK Lüneburg,03355,Feature,[object Object]
Niedersachsen,SK Salzgitter,03102,Feature,[object Object]
Niedersachsen,LK Friesland,03455,Feature,[object Object]
Niedersachsen,LK Goslar,03153,Feature,[object Object]
Niedersachsen,LK Nienburg (Weser),03256,Feature,[object Object]
Niedersachsen,LK Uelzen,03360,Feature,[object Object]
Niedersachsen,LK Rotenburg (Wümme),03357,Feature,[object Object]
Niedersachsen,LK Northeim,03155,Feature,[object Object]
Niedersachsen,SK Delmenhorst,03401,Feature,[object Object]
Niedersachsen,LK Osterholz,03356,Feature,[object Object]
Niedersachsen,LK Verden,03361,Feature,[object Object]
Niedersachsen,LK Grafschaft Bentheim,03456,Feature,[object Object]
Niedersachsen,LK Wolfenbüttel,03158,Feature,[object Object]
Niedersachsen,SK Emden,03402,Feature,[object Object]
Niedersachsen,SK Wilhelmshaven,03405,Feature,[object Object]
Niedersachsen,SK Osnabrück,03404,Feature,[object Object]
Niedersachsen,LK Wittmund,03462,Feature,[object Object]
Niedersachsen,LK Gifhorn,03151,Feature,[object Object]
Niedersachsen,SK Braunschweig,03101,Feature,[object Object]
Niedersachsen,SK Oldenburg,03403,Feature,[object Object]
Niedersachsen,LK Ammerland,03451,Feature,[object Object]
Niedersachsen,LK Leer,03457,Feature,[object Object]
Niedersachsen,LK Peine,03157,Feature,[object Object]
Niedersachsen,LK Hildesheim,03254,Feature,[object Object]
