"County_Name","Inhabitants"
"Butler, Pennsylvania, US",187853
"Butte, California, US",219186
"Butte, Idaho, US",2597
"Butte, South Dakota, US",10429
"Butts, Georgia, US",24936
"Cabarrus, North Carolina, US",216453
"Cabell, West Virginia, US",91945
"Cache, Utah, US",128289
"Caddo, Oklahoma, US",28762
"Caddo, Louisiana, US",240204
"Calaveras, California, US",45905
"Calcasieu, Louisiana, US",203436
"Caldwell, Kentucky, US",12747
"Caldwell, Missouri, US",9020
"Caldwell, North Carolina, US",82178
"Caldwell, Texas, US",43664
"Caldwell, Louisiana, US",9918
"Caledonia, Vermont, US",29993
"Calhoun, Alabama, US",113605
"Calhoun, Arkansas, US",5189
"Calhoun, Florida, US",14105
"Calhoun, Georgia, US",6189
"Calhoun, Illinois, US",4739
"Calhoun, Iowa, US",9668
"Calhoun, Michigan, US",134159
"Calhoun, Mississippi, US",14361
"Calhoun, South Carolina, US",14553
"Calhoun, Texas, US",21290
"Calhoun, West Virginia, US",7109
"Callahan, Texas, US",13943
"Callaway, Missouri, US",44743
"Calloway, Kentucky, US",39001
"Calumet, Wisconsin, US",50089
"Calvert, Maryland, US",92525
"Camas, Idaho, US",1106
"Cambria, Pennsylvania, US",130192
"Camden, Georgia, US",54666
"Camden, Missouri, US",46305
"Camden, New Jersey, US",506471
"Camden, North Carolina, US",10867
"Cameron, Pennsylvania, US",4447
"Cameron, Texas, US",423163
"Cameron, Louisiana, US",6973
"Camp, Texas, US",13094
"Campbell, Kentucky, US",93584
"Campbell, South Dakota, US",1376
"Campbell, Tennessee, US",39842
"Campbell, Virginia, US",54885
"Campbell, Wyoming, US",46341
"Canadian, Oklahoma, US",148306
"Candler, Georgia, US",10803
"Cannon, Tennessee, US",14678
"Canyon, Idaho, US",229849
"Cape Girardeau, Missouri, US",78871
"Cape May, New Jersey, US",92039
"Carbon, Montana, US",10725
"Carbon, Pennsylvania, US",64182
"Carbon, Utah, US",20463
"Carbon, Wyoming, US",14800
"Caribou, Idaho, US",7155
"Carlisle, Kentucky, US",4760
"Carlton, Minnesota, US",35871
"Caroline, Maryland, US",33406
"Caroline, Virginia, US",30725
"Carroll, Arkansas, US",28380
"Carroll, Georgia, US",119992
"Carroll, Illinois, US",14305
"Carroll, Indiana, US",20257
"Carroll, Iowa, US",20165
"Carroll, Kentucky, US",10631
"Carroll, Maryland, US",168447
"Carroll, Mississippi, US",9947
"Carroll, Missouri, US",8679
"Carroll, New Hampshire, US",48910
"Carroll, Ohio, US",26914
"Carroll, Tennessee, US",27767
"Carroll, Virginia, US",29791
"Carson City, Nevada, US",55916
"Carson, Texas, US",5926
"Carter, Kentucky, US",26797
"Carter, Missouri, US",5982
"Carter, Montana, US",1252
"Carter, Oklahoma, US",48111
"Carter, Tennessee, US",56391
"Carteret, North Carolina, US",69473
"Carver, Minnesota, US",105089
"Cascade, Montana, US",81366
"Casey, Kentucky, US",16159
"Cass, Illinois, US",12147
"Cass, Indiana, US",37689
"Cass, Iowa, US",12836
"Cass, Michigan, US",51787
"Cass, Minnesota, US",29779
"Cass, Missouri, US",105780
"Cass, Nebraska, US",26248
"Cass, North Dakota, US",181923
"Cass, Texas, US",30026
"Cassia, Idaho, US",24030
"Castro, Texas, US",7530
"Caswell, North Carolina, US",22604
"Catahoula, Louisiana, US",9494
"Catawba, North Carolina, US",159551
"Catoosa, Georgia, US",67580
"Catron, New Mexico, US",3527
"Cattaraugus, New York, US",76117
"Cavalier, North Dakota, US",3762
"Cayuga, New York, US",76576
"Cecil, Maryland, US",102855
"Cedar, Iowa, US",18627
"Cedar, Missouri, US",14349
"Cedar, Nebraska, US",8402
"Centre, Pennsylvania, US",162385
"Cerro Gordo, Iowa, US",42450
"Chaffee, Colorado, US",20356
"Chambers, Alabama, US",33254
"Chambers, Texas, US",43837
"Champaign, Illinois, US",209689
"Champaign, Ohio, US",38885
"Chariton, Missouri, US",7426
"Charles City, Virginia, US",6963
"Charles, Maryland, US",163257
"Charles Mix, South Dakota, US",9292
"Charleston, South Carolina, US",411406
"Charlevoix, Michigan, US",26143
"Charlotte, Florida, US",188910
"Charlotte, Virginia, US",11880
"Charlottesville, Virginia, US",47266
"Charlton, Georgia, US",13392
"Chase, Kansas, US",2648
"Chase, Nebraska, US",3924
"Chatham, Georgia, US",289430
"Chatham, North Carolina, US",74470
"Chattahoochee, Georgia, US",10907
"Chattooga, Georgia, US",24789
"Chautauqua, Kansas, US",3250
"Chautauqua, New York, US",126903
"Chaves, New Mexico, US",64615
"Cheatham, Tennessee, US",40667
"Cheboygan, Michigan, US",25276
"Chelan, Washington, US",77200
"Chemung, New York, US",83456
"Chenango, New York, US",47207
"Cherokee, Alabama, US",26196
"Cherokee, Georgia, US",258773
"Cherokee, Iowa, US",11235
"Cherokee, Kansas, US",19939
"Cherokee, North Carolina, US",28612
"Cherokee, Oklahoma, US",48657
"Cherokee, South Carolina, US",57300
"Cherokee, Texas, US",52646
"Cherry, Nebraska, US",5689
"Chesapeake, Virginia, US",244835
"Cheshire, New Hampshire, US",76085
"Chester, Pennsylvania, US",524989
"Chester, South Carolina, US",32244
"Chester, Tennessee, US",17297
"Chesterfield, South Carolina, US",45650
"Chesterfield, Virginia, US",352802
"Cheyenne, Colorado, US",1831
"Cheyenne, Kansas, US",2657
"Cheyenne, Nebraska, US",8910
"Chickasaw, Iowa, US",11933
"Chickasaw, Mississippi, US",17103
"Chicot, Arkansas, US",10118
"Childress, Texas, US",7306
"Chilton, Alabama, US",44428
"Chippewa, Michigan, US",37349
"Chippewa, Minnesota, US",11800
"Chippewa, Wisconsin, US",64658
"Chisago, Minnesota, US",56579
"Chittenden, Vermont, US",163774
"Choctaw, Alabama, US",12589
"Choctaw, Mississippi, US",8210
"Choctaw, Oklahoma, US",14672
"Chouteau, Montana, US",5635
"Chowan, North Carolina, US",13943
"Christian, Illinois, US",32304
"Christian, Kentucky, US",70461
"Christian, Missouri, US",88595
"Churchill, Nevada, US",24909
"Cibola, New Mexico, US",26675
"Cimarron, Oklahoma, US",2137
"Citrus, Florida, US",149657
"Clackamas, Oregon, US",418187
"Claiborne, Mississippi, US",8988
"Claiborne, Tennessee, US",31959
"Claiborne, Louisiana, US",15670
"Clallam, Washington, US",77331
"Clare, Michigan, US",30950
"Clarendon, South Carolina, US",33745
"Clarion, Pennsylvania, US",38438
"Clark, Arkansas, US",22320
"Clark, Idaho, US",845
"Clark, Illinois, US",15441
"Clark, Indiana, US",118302
"Clark, Kansas, US",1994
"Clark, Kentucky, US",36263
"Clark, Missouri, US",6797
"Clark, Nevada, US",2266715
"Clark, Ohio, US",134083
"Clark, South Dakota, US",3736
"Clark, Washington, US",488241
"Clark, Wisconsin, US",34774
"Clarke, Alabama, US",23622
"Clarke, Georgia, US",128331
"Clarke, Iowa, US",9395
"Clarke, Mississippi, US",15541
"Clarke, Virginia, US",14619
"Clatsop, Oregon, US",40224
"Clay, Alabama, US",13235
"Clay, Arkansas, US",14551
"Clay, Florida, US",219252
"Clay, Georgia, US",2834
"Clay, Illinois, US",13184
"Clay, Indiana, US",26225
"Clay, Iowa, US",16016
"Clay, Kansas, US",8002
"Clay, Kentucky, US",19901
"Clay, Minnesota, US",64222
"Clay, Mississippi, US",19316
"Clay, Missouri, US",249948
"Clay, Nebraska, US",6203
"Clay, North Carolina, US",11231
"Clay, South Dakota, US",14070
"Clay, Tennessee, US",7615
"Clay, Texas, US",10471
"Clay, West Virginia, US",8508
"Clayton, Georgia, US",292256
"Clayton, Iowa, US",17549
"Clear Creek, Colorado, US",9700
"Clearfield, Pennsylvania, US",79255
"Clearwater, Idaho, US",8756
"Clearwater, Minnesota, US",8818
"Cleburne, Alabama, US",14910
"Cleburne, Arkansas, US",24919
"Clermont, Ohio, US",206428
"Cleveland, Arkansas, US",7956
"Cleveland, North Carolina, US",97947
"Cleveland, Oklahoma, US",284014
"Clinch, Georgia, US",6618
"Clinton, Illinois, US",37562
"Clinton, Indiana, US",32399
"Clinton, Iowa, US",46429
"Clinton, Kentucky, US",10218
"Clinton, Michigan, US",79595
"Clinton, Missouri, US",20387
"Clinton, New York, US",80485
"Clinton, Ohio, US",41968
"Clinton, Pennsylvania, US",38632
"Cloud, Kansas, US",8786
"Coahoma, Mississippi, US",22124
"Coal, Oklahoma, US",5495
"Cobb, Georgia, US",760141
"Cochise, Arizona, US",125922
"Cochran, Texas, US",2853
"Cocke, Tennessee, US",36004
"Coconino, Arizona, US",143476
"Codington, South Dakota, US",28009
"Coffee, Alabama, US",52342
"Coffee, Georgia, US",43273
"Coffee, Tennessee, US",56520
"Coffey, Kansas, US",8179
"Coke, Texas, US",3387
"Colbert, Alabama, US",55241
"Cole, Missouri, US",76745
"Coleman, Texas, US",8175
"Coles, Illinois, US",50621
"Colfax, Nebraska, US",10709
"Colfax, New Mexico, US",11941
"Colleton, South Carolina, US",37677
"Collier, Florida, US",384902
"Collin, Texas, US",1034730
"Collingsworth, Texas, US",2920
"Colonial Heights City, Virginia, US",17370
"Colorado, Texas, US",21493
"Colquitt, Georgia, US",45600
"Columbia, Arkansas, US",23457
"Columbia, Florida, US",71686
"Columbia, Georgia, US",156714
"Columbia, New York, US",59461
"Columbia, Oregon, US",52354
"Columbia, Pennsylvania, US",64964
"Columbia, Washington, US",3985
"Columbia, Wisconsin, US",57532
"Columbiana, Ohio, US",101883
"Columbus, North Carolina, US",55508
"Colusa, California, US",21547
"Comal, Texas, US",156209
"Comanche, Kansas, US",1700
"Comanche, Oklahoma, US",120749
"Comanche, Texas, US",13635
"Concho, Texas, US",2726
"Concordia, Louisiana, US",19259
"Conecuh, Alabama, US",12067
"Conejos, Colorado, US",8205
"Contra Costa, California, US",1153526
"Converse, Wyoming, US",13822
"Conway, Arkansas, US",20846
"Cook, Georgia, US",17270
"Cook, Illinois, US",5150233
"Cook, Minnesota, US",5463
"Cooke, Texas, US",41257
"Cooper, Missouri, US",17709
"Coos, New Hampshire, US",31563
"Coos, Oregon, US",64487
"Coosa, Alabama, US",10663
"Copiah, Mississippi, US",28065
"Corson, South Dakota, US",4086
"Cortland, New York, US",47581
"Coryell, Texas, US",75951
"Coshocton, Ohio, US",36600
"Costilla, Colorado, US",3887
"Cottle, Texas, US",1398
